screen_seq,record_id,doi,arxiv_id,title,authors,year,venue,venue_tier,lineages,screen_score,abstract_available,decision,reason_code,note,lineage_final,screened_utc,screener
1,doi:10.20965/jrm.2025.p0284,10.20965/jrm.2025.p0284,,Object Detection for Product Arrangement Robot Using Anomaly Detection,Ryota Kondo; Tsuyoshi Tasaki,2025,Journal of Robotics and Mechatronics,other,L10_cross_robot_few_shot; L5_lie_geometry_equivariant; L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L9_foundation_multimodal; L_killer_precision; L_recent_2025_2026,28.0,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,Vision-based product-state detection for shelf arrangement; not robot health/fault monitoring,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
2,doi:10.1109/tro.2023.3332224,10.1109/tro.2023.3332224,2311.04765v1,The voraus-AD Dataset for Anomaly Detection in Robot Applications,Jan Thieß Brockmann; Marco Rudolph; Bodo Rosenhahn; Bastian Wandt,2023,IEEE Transactions on Robotics,R,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L_killer_precision; L_recent_2025_2026,25.327,true,INCLUDE_PRIORITY,DATASET_OR_CODE_PAPER,"voraus-AD dataset + MVT-Flow native baseline; mandatory dataset paper (already carded in V1, recount under V2)",L8_public_benchmarks_transfer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
3,doi:10.1109/access.2023.3289068,10.1109/access.2023.3289068,,An Experimental Comparison of Anomaly Detection Methods for Collaborative Robot Manipulators,Søren Goddiksen Graabæk; Emil Vincent Ancker; Andreas Rune Fugl; Anders Lyhne Christensen,2023,IEEE Access,other,L5_lie_geometry_equivariant; L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L9_foundation_multimodal; L_killer_precision,24.827,true,INCLUDE_PRIORITY,DATASET_OR_CODE_PAPER,UR5e anomaly comparison (Graabaek); supplementary dataset + broad method comparison on real cobot,L8_public_benchmarks_transfer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
4,doi:10.1109/tro.2021.3129630,10.1109/tro.2021.3129630,,Transferable Collision Detection Learning for Collaborative Manipulator Using Versatile Modularized Neural Network,Donghyeon Kim; Daegyu Lim; Jaeheung Park,2021,IEEE Transactions on Robotics,R,L3_learned_momentum_observer; L4_structured_chain_graph_dynamics; L_killer_precision; L_recent_2025_2026,23.757,true,INCLUDE_PRIORITY,KILLER_CANDIDATE,Kim-Lim-Park transferable modularized collision detection; contract-listed killer paper,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
5,doi:10.1109/sensors56945.2023.10325098,10.1109/sensors56945.2023.10325098,,Smart Fault Detection Approach Leveraging Soft Sensor and Model-Free Control: Application to Robot Manipulator,Heni Belgacem; Atal Anil Kumar; Inès Chihi; Lilia Sidhom,2023,2023 IEEE SENSORS,other,L11_active_diagnosis; L2_manipulator_actuator_sensor_fdi; L5_lie_geometry_equivariant; L_killer_precision,22.075,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,"Model-free FDD on manipulator; L2 quota candidate, modest venue",L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
6,doi:10.1109/lra.2022.3153989,10.1109/lra.2022.3153989,,Proactive Anomaly Detection for Robot Navigation With Multi-Sensor Fusion,Tianchen Ji; Arun N. Sivakumar; Girish Chowdhary; Katherine Driggs-Campbell,2022,IEEE Robotics and Automation Letters,R,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L_killer_precision,22.0,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"Navigation anomaly (mobile robot), multi-sensor; robot-AD context, not manipulator",L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
7,doi:10.21203/rs.3.rs-9502784/v1,10.21203/rs.3.rs-9502784/v1,,Dual-Branch Collaborative Framework for Robust Visual Anomaly Detection in Mobile Robot Inspection,Xuesong Zhang; Min Wu; Hua Jin; Jing Wang,2026,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L9_foundation_multimodal; L_killer_precision; L_recent_2025_2026,21.5,false,EXCLUDE,WRONG_OBJECT,"Visual anomaly detection for mobile inspection robot; preprint server, no abstract",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
8,doi:10.3390/s21124235,10.3390/s21124235,,A Simple Neural Network for Collision Detection of Collaborative Robots,Michał Czubenko; Zdzisław Kowalczuk,2021,Sensors,MDPI,L2_manipulator_actuator_sensor_fdi; L3_learned_momentum_observer; L4_structured_chain_graph_dynamics; L6_contact_collision_localization,21.167,true,INCLUDE_BACKGROUND,VENUE_EXCLUDED_MDPI,Learning collision detection on cobot; topically in-scope but MDPI cannot anchor novelty (contract 4.4),L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
9,doi:10.1016/j.rcim.2023.102684,10.1016/j.rcim.2023.102684,,Manipulator joint fault localization for intelligent flexible manufacturing based on reinforcement learning and robot dynamics,ShiJie Wang; JianFeng Tao; QinCheng Jiang; Wei Chen; ChengLiang Liu,2024,Robotics and Computer-Integrated Manufacturing,other,L2_manipulator_actuator_sensor_fdi; L5_lie_geometry_equivariant; L_killer_precision; L_recent_2025_2026,21.02,false,INCLUDE_FULLTEXT,LINEAGE_QUOTA,"Joint fault localization with RL + robot dynamics (RCIM); L2 quota, no abstract in index",L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
10,doi:10.1109/aero53065.2022.9843528,10.1109/aero53065.2022.9843528,,Intelligent Anomaly Detection of Robot Manipulator based on Energy Consumption Auditing,Seong Hyeon Hong; Tristan Kyzer; Jackson Cornelius; Feraidoon Zahiri; Yi Wang,2022,2022 IEEE Aerospace Conference (AERO),other,L10_cross_robot_few_shot; L7_mtsad_context_ood_sequential; L9_foundation_multimodal; L_killer_precision,20.939,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"Side-channel energy auditing anomaly for manipulator; security angle, weak tie to proprioceptive FDI",L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
